,delta,nodes_cc,length_cc,i,j,d_ij_b,d_ij_s
0,0.0,0.0,0.0,0,0,0.01896705423323371,0.5625223079036187
1,0.0,1595.0,81.88395900000017,0,0,0.01896705423323371,0.5625223079036187
2,2.801435272123876,2378.0,106.58612200000034,3595777340,288825222,0.05298500608588167,0.5625223079036187
3,14.657730544750272,2941.0,137.0319890000001,260098770,260184926,0.05298500608588167,0.5625223079036187
4,264.02860855959517,3394.0,164.920907,685059031,735742808,0.07985520038876634,0.5625223079036187
5,345.71996284416406,3840.0,192.8217839999997,1416941515,74934375,0.09239599876225117,0.5625223079036187
6,2622.6018473979925,4220.0,204.3369199999992,3325126123,1177371349,0.10129052258378347,0.5625223079036187
7,4179.479645610792,4563.0,232.95813199999958,3335903731,2003689903,0.10749198330582288,0.5625223079036187
8,4200.894506104872,4875.0,251.1613029999997,1285886896,509441359,0.1175856868264723,0.5625223079036187
9,4379.2056513490315,5082.0,263.6410919999986,3325126123,3325126119,0.12245522130402818,0.5625223079036187
10,4641.3429846323825,5275.0,270.2339249999991,268931067,371791741,0.1354067195115481,0.5625223079036187
11,4694.667808090146,5465.0,279.984405000001,4054231664,1216812188,0.1354067195115481,0.5625223079036187
12,5538.3596406159095,5645.0,291.9088390000001,727631090,3049454372,0.13755787593856328,0.5625223079036187
13,5629.490196804062,5812.0,294.43897199999924,1351452391,4591607017,0.1463824876655602,0.5625223079036187
14,5911.628160882144,5969.0,303.6333909999998,2012319904,2020444860,0.14839443712836176,0.5625223079036187
15,6016.827068474456,6119.0,312.9540940000004,2782453656,318613427,0.15156568069327211,0.5625223079036187
16,6034.382521310265,6266.0,318.31675099999904,2172158042,4228905498,0.16021302973138848,0.5625223079036187
17,6289.503400484143,6385.0,322.0095269999987,1351489013,1351489023,0.16511394507203186,0.5625223079036187
18,7004.01399834698,6492.0,328.18872799999895,5051993544,412348364,0.17730931782333603,0.5625223079036187
19,9222.507339400714,6597.0,332.0334249999992,3483668178,3441606404,0.17730931782333603,0.5625223079036187
20,11901.73950917648,6689.0,340.2023549999995,354718258,5740957732,0.17730931782333603,0.5625223079036187
21,12416.938097150934,6780.0,344.6882709999988,318626115,1483538378,0.17730931782333603,0.5625223079036187
22,15560.636770381523,6867.0,355.33716899999934,3139189512,1737619943,0.17782025773803173,0.5625223079036187
23,15607.417307251673,6950.0,360.1728709999988,343458171,1988786433,0.18369881139779512,0.5625223079036187
24,17086.191872052037,7032.0,361.1828339999996,1965448769,277831760,0.1948953726514616,0.5625223079036187
25,17432.721359912415,7108.0,364.4604059999997,1157810656,388299405,0.19792918274552596,0.5625223079036187
26,19672.34611947192,7184.0,367.95980200000014,354718258,457134969,0.20084980133985286,0.5625223079036187
27,22818.37504153215,7258.0,377.07181400000013,286265556,5525202281,0.20667871329448798,0.5625223079036187
28,24539.62205084713,7327.0,381.154518,4031340808,285428777,0.21618747947624833,0.5625223079036187
29,24554.268375390366,7395.0,385.65202599999895,5678221278,4053372926,0.22219527306712486,0.5625223079036187
30,24739.33113276838,7458.0,389.5141019999994,4011616814,5789824472,0.22219527306712486,0.5625223079036187
31,24912.205321078847,7518.0,392.6574999999992,3335903731,2333420879,0.22268009009228013,0.5625223079036187
32,24925.25095573321,7577.0,393.8057989999993,1315098125,1315098133,0.22268009009228013,0.5625223079036187
33,27262.882657326856,7636.0,397.68248699999947,5525202281,3909541241,0.23097772200151984,0.5625223079036187
34,27288.66512255522,7692.0,404.25929899999926,5051993545,146995440,0.23097772200151984,0.5625223079036187
35,27299.606960938574,7745.0,407.18326199999876,5075368686,5075368695,0.2354790169884052,0.5625223079036187
36,28354.822971612466,7795.0,410.10574599999876,2765297867,2005360792,0.24248982295342522,0.5625223079036187
37,28760.23841315605,7842.0,411.773183999999,388373353,278663892,0.2454716401631079,0.5625223079036187
38,28878.243201436588,7889.0,413.82163399999916,282180921,282181532,0.2454716401631079,0.5625223079036187
39,30954.139068010987,7935.0,415.35347799999914,680055776,2379476677,0.2454716401631079,0.5625223079036187
40,31336.688898231416,7981.0,417.29770599999887,268874218,726586668,0.255121421334063,0.5625223079036187
41,31763.578109700044,8027.0,418.51040599999936,296202470,1285886843,0.255121421334063,0.5625223079036187
42,32699.948434943915,8072.0,418.9445379999988,1408226657,3251189337,0.25574161734283757,0.5625223079036187
43,32745.50628793248,8115.0,420.03546999999895,3437802283,87812432,0.2608365250615524,0.5625223079036187
44,36460.49996126163,8157.0,424.73995799999915,3090564037,1398684431,0.26476768990647653,0.5625223079036187
45,36881.32116472623,8199.0,425.4830799999994,1408226657,3111093430,0.26476768990647653,0.5625223079036187
46,36883.99222655982,8240.0,426.0448019999993,1447714867,297782179,0.2696219515319395,0.5625223079036187
47,37193.85991526805,8281.0,429.40781799999917,5085940614,5877957819,0.27130955757937375,0.5625223079036187
48,37741.058434368286,8321.0,430.4144699999995,4013711345,4013711323,0.27130955757937375,0.5625223079036187
49,37974.21639175709,8360.0,432.3564519999995,277474,177512901,0.2714137204189301,0.5625223079036187
50,37980.940739846,8399.0,433.64225999999945,3311070386,3313267870,0.2714137204189301,0.5625223079036187
51,37989.87982031107,8437.0,435.0604579999997,4053340058,4053340059,0.2714137204189301,0.5625223079036187
52,37997.78610608678,8475.0,435.63994199999917,2440711784,3184360752,0.27604004508571106,0.5625223079036187
53,38169.91905164581,8512.0,438.0712099999994,3303427797,701873393,0.28016214235161746,0.5625223079036187
54,38369.266771837836,8549.0,441.7041219999995,1737619943,1934123600,0.28016214235161746,0.5625223079036187
55,38413.446899095936,8584.0,443.1417309999995,78309501,421435610,0.28016214235161746,0.5625223079036187
56,38431.77186543906,8618.0,444.3386349999996,638352436,638352435,0.2851534831001548,0.5625223079036187
57,38448.69044865431,8652.0,445.7971509999995,2973806358,4509216186,0.2867876027486115,0.5625223079036187
58,38554.348774435566,8683.0,448.60262900000015,2585326575,275276849,0.2867876027486115,0.5625223079036187
59,38580.71807583987,8712.0,455.8573430000001,1737619942,2006361188,0.28877441637004175,0.5625223079036187
60,38783.83008873667,8740.0,456.8146889999997,2379476569,150641150,0.28877441637004175,0.5625223079036187
61,38939.37233661096,8767.0,457.7169569999999,5750939791,2390970220,0.28877441637004175,0.5625223079036187
62,39286.442143804314,8793.0,460.36623899999995,2005360792,2005292179,0.28877441637004175,0.5625223079036187
63,40416.00519313513,8819.0,464.8175209999996,514866176,2384170117,0.28877441637004175,0.5625223079036187
64,41848.48187687219,8844.0,466.21612900000014,199463497,1692243340,0.29011640684908785,0.5625223079036187
65,42013.81403486945,8869.0,468.34849499999984,680056030,2914950439,0.29011640684908785,0.5625223079036187
66,42020.3806737973,8894.0,468.78988999999984,5117696611,262671593,0.29011640684908785,0.5625223079036187
67,42560.81007534617,8919.0,472.2994279999997,514866176,514857389,0.29011640684908785,0.5625223079036187
68,42652.02115978473,8944.0,474.079006,819181273,819181272,0.29011640684908785,0.5625223079036187
69,42989.83334249671,8968.0,475.65646800000013,296203156,5592204964,0.29011640684908785,0.5625223079036187
70,43279.399336079,8992.0,476.97986300000014,601608307,36689155,0.29011640684908785,0.5625223079036187
71,43298.55807200564,9016.0,479.42851200000035,1673435960,1673435961,0.29011640684908785,0.5625223079036187
72,43311.635699071805,9040.0,480.1363670000005,263002790,688953675,0.29011640684908785,0.5625223079036187
73,43395.24575496502,9062.0,480.57309100000055,366497418,366497395,0.2971462036938632,0.5625223079036187
74,43587.5962401463,9084.0,481.24663300000054,5376410545,4598063133,0.29905139964373356,0.5625223079036187
75,43656.09832443637,9106.0,482.09699600000084,1648921869,280349535,0.29905139964373356,0.5625223079036187
76,44056.53792305637,9127.0,483.2102190000006,5110985495,3334178133,0.30040592657947457,0.5625223079036187
77,44169.136118199014,9147.0,484.3533770000007,1673542011,146967799,0.30040592657947457,0.5625223079036187
78,44893.11163730786,9167.0,486.4418040000006,753979556,280309782,0.30040592657947457,0.5625223079036187
79,45011.304955041865,9187.0,487.8251120000007,2003689903,2003689897,0.3032961889676252,0.5625223079036187
80,45187.10445284232,9206.0,489.07996800000086,5299055823,421442975,0.3032961889676252,0.5625223079036187
